"Mental Health
For youth struggling with substance use (alcohol/vaping/nicotine/other drugs), anger, grief/loss, suicidal ideation, identity (gender/sexual/racial/cultural), generalized anxiety, depression, attention deficit, mood, or any other mental health condition.",,,,,,,,,,,,,,,,,,,,,,,
Counseling Offices (with multiple providers),,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
Casper Family Connections,307-233-2200,https://www.casperfamilyconnections.org/,,"500 S Wolcott Street Suite 102, Casper, WY 82601","Provides child and adolescent therapy for personality disorders, depression, anxiety, and parenting and family conflict.",,,,,,,,,,,,,,,,,,
Cedar Ridge Child and Family Counseling,307-333-1301,,Cedar Ridge Child & Family Counseling,"2345 East 2nd Street, Casper, WY 82609","Multiple clinicians provide therapy for children and teens ages 0-17. Telehealth available. EMDR and trauma focused CBT. Registered play therapist, addresses social, emotional, and behavioral health challenges in the school, home, and work environment. Depression, anxiety, ADHD, anger, family conflict and parenting, abuse and neglect. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Central Wyoming Counseling Center,307-237-9583,https://cwcc.us/,Central Wyoming Counseling Center,"1430 Wilkins Circle, Casper, WY 82601","Multiple clinicians provide therapy services for children, adolescents, and adults. Medicaid accepted",,,,,,,,,,,,,,,,,,
Central Wyoming Counseling Center,307-237-9583,https://cwcc.us/,Central Wyoming Counseling Center,"1430 Wilkins Circle, Casper, WY 82601","Early intervention services, wrap around services, substance use treatment, crisis stabilization unit, detox unit, counseling services, medication management",,,,,,,,,,,,,,,,,,
Central Wyoming Hospice & Transitions (Counseling),307-577-4832,https://centralwyominghospice.org/services/#grief-care,Central Wyoming Hospice and Transitions,"319 S Wilson St., Casper, WY 82601","Individual and family grief care, support groups, kids’ grief camp, community grief events",,,,,,,,,,,,,,,,,,
Community Health Centers of Central Wyoming,307-233-6000,https://www.chccw.org/,Community Health Center of Central Wyoming,"5000 Blackmore Road, Casper, WY 82609","Behavioral health, dental, family medicine, pediatrics, pharmacy, quick care. *Offer sliding fee scale",,,,,,,,,,,,,,,,,,
Description Counseling,307-222-3042,https://www.Descriptioncounseling.com/,,"3925 Casper Mountain Road, Casper, WY 82601","Multiple clinicians provide therapy services for children, adolescents, and adults. Some specialties include: trauma, grief, anger, and family systems. Most commercial insurances are accepted, including TriCare, Medicare, and Medicaid.",,,,,,,,,,,,,,,,,,
Harmony Health,307-235-3333,https://www.harmonyhealthcasper.com/,,"1300 East A Street, Casper, WY 82601",A hub of private practice therapists ,,,,,,,,,,,,,,,,,,
Mental Health Hub,307-374-6463,https://mentalhealthhub307.com/,Mental Health Hub Therapy & Training,"701 Antler Dr, Casper, WY 82601",A hub of private practice therapists and training spaces,,,,,,,,,,,,,,,,,,
Mercer Family Resource Center,307-265-7366,https://mercercasper.com/youth-classes,Mercer Family Resource Center,"535 W. Yellowstone Highway, Casper, WY 82601","Tobacco & vaping education, insight into substance prevention, anger management",,,,,,,,,,,,,,,,,,
National Alliance on Mental Illness (NAMI) - Wyoming ,1-800-950-6264,https://namiwyoming.com/,online resource & call center,,National call center and resources for mental illness.,,,,,,,,,,,,,,,,,,
Parkridge Behavioral Health ,307-462-4876,https://www.prbhwy.com/,Casper Clinic,"940 East 3rd Street Suite 104, Casper, WY 82601","Multiple clinicians provide child, adolescent, adult, individual, family, couples, and group counseling. Specializes in trauma, anxiety, depression, chronic pain, parenting, addictions, bi-polar, LGBTQ+, women's health, eating disorders. Trained clinicians can provide EMDR, DBT, CBT, etc. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Remember Who You Are Counseling ,307-333-4028,https://rememberwhoyouarecounseling.com/,,"141 South Center Street, Casper, WY 82601","Multiple clinicians provide therapy services for children, adolescents, couples, LGTBQ+. Providers specialize in grief, trauma, play therapy, and EMDR. Medicaid accepted",,,,,,,,,,,,,,,,,,
Counseling Offices Cont. (with multiple providers),,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
Solutions Counseling Services ,307-234-9979,https://www.solutionscounselingserviceswy.com/,,"1010 East 1st Street Suite A, Casper, WY 82601","Multiple clinicians provide therapy services for children, adolescents, and adults. Specializing in family conflict, parenting, sexual abuse, and trauma counseling. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Winds of Change Therapy,307-259-5139,,,"800 Werner Court Suite 235, Casper, WY 82601","Multiple clinicians provide therapy services to children, adolescents, and adults. Medicaid accepted.",,,,,,,,,,,,,,,,,,
