"guid","full_name","parent_organization","category","description","phone_1","website","full_address","min_age","max_age","city"
"1","Casper Family Connections","","Mental Health: Counseling","Provides child and adolescent therapy for personality disorders, depression, anxiety, and parenting and family conflict.","307-233-2200","https://www.casperfamilyconnections.org/","500 S Wolcott Street Suite 102, Casper, WY 82601","11","20","Casper"
"2","Cedar Ridge Child and Family Counseling","Cedar Ridge Child & Family Counseling","Mental Health: Counseling","Multiple clinicians provide therapy for children and teens ages 0-17. Telehealth available. EMDR and trauma focused CBT. Registered play therapist, addresses social, emotional, and behavioral health challenges in the school, home, and work environment. Depression, anxiety, ADHD, anger, family conflict and parenting, abuse and neglect. Medicaid accepted.","307-333-1301","","2345 East 2nd Street, Casper, WY 82609","11","20","Casper"
"3","Central Wyoming Counseling Center","Central Wyoming Counseling Center","Mental Health: Counseling","Multiple clinicians provide therapy services for children, adolescents, and adults. Medicaid accepted","307-237-9583","https://cwcc.us/","1430 Wilkins Circle, Casper, WY 82601","11","20","Casper"
"4","Central Wyoming Counseling Center","Central Wyoming Counseling Center","Mental Health: Counseling","Early intervention services, wrap around services, substance use treatment, crisis stabilization unit, detox unit, counseling services, medication management","307-237-9583","https://cwcc.us/","1430 Wilkins Circle, Casper, WY 82601","11","20","Casper"
"5","Central Wyoming Hospice & Transitions (Counseling)","Central Wyoming Hospice and Transitions","Mental Health: Counseling","Individual and family grief care, support groups, kids' grief camp, community grief events","307-577-4832","https://centralwyominghospice.org/services/#grief-care","319 S Wilson St., Casper, WY 82601","11","20","Casper"
"6","Community Health Centers of Central Wyoming","Community Health Center of Central Wyoming","Mental Health: Counseling","Behavioral health, dental, family medicine, pediatrics, pharmacy, quick care. *Offer sliding fee scale","307-233-6000","https://www.chccw.org/","5000 Blackmore Road, Casper, WY 82609","11","20","Casper"
"7","Description Counseling","","Mental Health: Counseling","Multiple clinicians provide therapy services for children, adolescents, and adults. Some specialties include: trauma, grief, anger, and family systems. Most commercial insurances are accepted, including TriCare, Medicare, and Medicaid.","307-222-3042","https://www.Descriptioncounseling.com/","3925 Casper Mountain Road, Casper, WY 82601","11","20","Casper"
"8","Harmony Health","","Mental Health: Counseling","A hub of private practice therapists","307-235-3333","https://www.harmonyhealthcasper.com/","1300 East A Street, Casper, WY 82601","11","20","Casper"
"9","Mental Health Hub","Mental Health Hub Therapy & Training","Mental Health: Counseling","A hub of private practice therapists and training spaces","307-374-6463","https://mentalhealthhub307.com/","701 Antler Dr, Casper, WY 82601","11","20","Casper"
"10","Mercer Family Resource Center","Mercer Family Resource Center","Mental Health: Counseling","Tobacco & vaping education, insight into substance prevention, anger management","307-265-7366","https://mercercasper.com/youth-classes","535 W. Yellowstone Highway, Casper, WY 82601","11","20","Casper"
